1, 468.60, 329.70, 222
2, 217.80, 47.30, 118
3, 30.50, 35.30, 360
4, 87.10, 38.20, 130
5, 228.70, 43.80, 202
6, 337.00, 43.40, 206
7, 370.50, 60.90, 106
8, 566.50, 97.40, 262
9, 715.50, 118.60, 142
10, 823.60, 123.70, 170
11, 158.70, 172.80, 340
12, 120.90, 236.40, 406
13, 120.30, 389.50, 304
14, 145.50, 195.60, 196
15, 157.20, 185.10, 296
16, 114.00, 201.40, 278
17, 152.40, 220.40, 138
18, 651.60, 187.20, 102
19, 872.70, 228.70, 158
20, 802.90, 515.70, 324
21, 385.80, 612.30, 242
22, 122.80, 642.00, 406
23, 141.70, 612.20, 204
24, 885.40, 658.00, 250
25, 809.60, 595.50, 134
26, 690.40, 113.20, 174
27, 823.20, 123.70, 308
28, 767.40, 122.30, 116
29, 554.60, 100.40, 498
30, 855.00, 155.10, 148
31, 147.00, 637.70, 170
32, 120.20, 638.40, 146
33, 128.60, 592.60, 246
34, 130.80, 567.10, 196
35, 127.00, 533.10, 198
36, 140.30, 501.50, 210
37, 61.00, 161.50, 104
38, 37.50, 42.00, 156
39, 287.00, 51.90, 190
