1, 401.30, 86.30, 251
2, 324.10, 57.10, 201
3, 182.90, 154.80, 432
4, 154.30, 178.60, 138
5, 212.10, 416.80, 248
6, 209.50, 469.40, 187
7, 196.50, 565.70, 279
8, 184.70, 600.40, 162
9, 700.90, 57.20, 319
10, 557.00, 82.50, 206
11, 895.40, 94.80, 304
12, 851.90, 71.10, 172
13, 683.30, 95.60, 141
14, 795.90, 453.70, 150
15, 208.80, 115.70, 247
16, 368.90, 64.10, 188
17, 340.90, 291.90, 143
18, 513.70, 643.30, 242
19, 257.70, 38.90, 285
20, 731.30, 58.90, 405
21, 826.50, 84.30, 229
22, 576.70, 82.70, 152
23, 195.70, 184.40, 167
24, 209.00, 155.40, 289
25, 234.10, 369.70, 180
26, 209.70, 163.90, 751
27, 222.60, 391.50, 185
28, 200.10, 431.00, 1324
