1, 448.50, 283.10, 178
2, 492.20, 328.40, 332
3, 206.70, 112.70, 154
4, 174.00, 155.10, 128
5, 97.50, 36.80, 190
6, 255.60, 49.80, 180
7, 636.00, 75.50, 170
8, 580.10, 95.60, 184
9, 126.00, 47.60, 298
10, 184.50, 162.00, 240
11, 562.20, 105.10, 252
12, 603.50, 103.90, 156
13, 786.60, 101.00, 144
14, 173.40, 156.40, 254
15, 154.60, 180.40, 340
16, 202.00, 455.00, 346
17, 336.60, 585.50, 110
18, 168.80, 91.00, 114
19, 93.90, 44.90, 202
20, 309.30, 53.40, 234
21, 187.00, 560.50, 242
22, 211.20, 414.80, 114
23, 737.70, 122.70, 312
24, 850.90, 105.80, 182
25, 606.20, 98.40, 220
26, 736.40, 101.10, 164
27, 843.00, 106.70, 246
28, 716.90, 99.40, 168
29, 172.80, 57.50, 232
30, 695.50, 266.40, 314
31, 245.10, 379.70, 216
32, 217.00, 616.70, 162
33, 187.50, 579.30, 222
34, 192.10, 566.50, 182
35, 246.50, 262.30, 290
36, 194.40, 278.50, 264
37, 193.20, 150.90, 242
38, 769.50, 143.80, 186
39, 632.30, 336.90, 322
40, 221.50, 261.40, 198
