1, 757.70, 545.30, 194
2, 531.70, 342.40, 248
3, 486.20, 337.10, 212
4, 289.50, 143.30, 130
5, 163.80, 108.90, 240
6, 93.30, 111.40, 236
7, 323.90, 125.80, 280
8, 278.30, 122.70, 222
9, 219.10, 200.50, 480
10, 587.40, 159.90, 258
11, 621.40, 170.50, 202
12, 306.50, 120.70, 164
13, 183.80, 111.30, 168
14, 105.60, 111.10, 306
15, 327.90, 115.70, 204
16, 250.10, 111.00, 298
17, 373.60, 569.60, 164
18, 395.10, 612.70, 248
19, 919.00, 605.60, 176
20, 886.20, 239.80, 160
21, 927.80, 224.70, 128
22, 972.60, 627.60, 250
23, 219.30, 317.00, 318
24, 203.70, 227.00, 250
25, 178.00, 230.90, 172
26, 175.90, 245.50, 272
27, 208.90, 284.40, 276
28, 221.30, 299.50, 250
29, 205.80, 324.70, 310
30, 182.00, 357.90, 224
31, 198.00, 443.20, 220
32, 203.20, 473.70, 224
33, 222.10, 502.10, 216
34, 187.70, 557.40, 282
35, 212.90, 575.80, 112
36, 707.00, 181.70, 236
37, 577.20, 167.00, 200
38, 843.00, 175.10, 322
39, 884.10, 174.80, 432
40, 753.90, 164.70, 244
