1, 461.40, 356.50, 225
2, 485.30, 302.60, 238
3, 322.00, 136.30, 124
4, 172.30, 158.40, 251
5, 179.60, 183.90, 120
6, 134.70, 200.00, 523
7, 125.40, 84.50, 241
8, 280.20, 101.30, 173
9, 140.30, 111.80, 205
10, 59.50, 124.10, 179
11, 285.10, 76.40, 237
12, 263.70, 61.30, 204
13, 365.00, 59.20, 209
14, 580.70, 113.70, 302
15, 130.60, 82.30, 249
16, 209.30, 92.80, 137
17, 334.50, 71.40, 281
18, 353.10, 54.90, 187
19, 250.30, 57.90, 167
20, 567.50, 95.60, 213
21, 646.40, 92.60, 104
22, 762.70, 107.90, 175
23, 871.70, 92.80, 378
24, 160.60, 208.00, 310
25, 190.20, 181.60, 392
26, 143.70, 194.20, 392
27, 126.10, 194.80, 196
28, 158.10, 186.80, 232
29, 182.60, 182.90, 190
30, 142.10, 196.50, 232
31, 175.10, 211.40, 150
32, 187.60, 245.00, 221
33, 173.70, 260.70, 215
34, 155.20, 271.70, 259
35, 171.20, 315.00, 323
36, 166.30, 334.40, 133
37, 164.30, 402.30, 185
38, 166.10, 379.70, 156
39, 190.60, 422.60, 194
